id,state,stop_date,stop_time,location_raw,county_name,county_fips,fine_grained_location,police_department,driver_gender,driver_age_raw,driver_age,driver_race_raw,driver_race,violation_raw,violation,search_conducted,search_type_raw,search_type,contraband_found,stop_outcome,is_arrested,ethnicity
CA-2013-0000129,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,33-39,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000130,CA,01/01/2013,,Capistrano,Orange County,6059,,,F,33-39,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000131,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,49+,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000132,CA,01/01/2013,,Capistrano,Orange County,6059,,,M,25-32,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,B
CA-2013-0000133,CA,01/01/2013,,Antelope Valley,Los Angeles County,6037,,,F,33-39,,Hispanic,Hispanic,DUI Check,DUI,FALSE,No Search,,FALSE,Verbal Warning,FALSE,H
CA-2013-0000134,CA,01/01/2013,,Antelope Valley,Los Angeles County,6037,,,F,49+,,Black,Black,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,B
CA-2013-0000135,CA,01/01/2013,,Antelope Valley,Los Angeles County,6037,,,F,15-25,,Hispanic,Hispanic,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
CA-2013-0000136,CA,01/01/2013,,Central Los Angeles,Los Angeles County,6037,,,M,40-48,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,Verbal Warning,FALSE,B
CA-2013-0000137,CA,01/01/2013,,Central Los Angeles,Los Angeles County,6037,,,M,40-48,,White,White,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,W
CA-2013-0000138,CA,01/01/2013,,Central Los Angeles,Los Angeles County,6037,,,M,15-25,,Hispanic,Hispanic,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,CHP 215,FALSE,H
CA-2013-0000139,CA,01/01/2013,,Central Los Angeles,Los Angeles County,6037,,,F,33-39,,Hispanic,Hispanic,Traffic Collision,Other,FALSE,No Search,,FALSE,Traffic Collision,FALSE,H
CA-2013-0000140,CA,01/01/2013,,Central Los Angeles,Los Angeles County,6037,,,F,40-48,,Black,Black,Moving Violation (VC),Moving violation,FALSE,No Search,,FALSE,Verbal Warning,FALSE,B
CA-2013-0000141,CA,01/01/2013,,Central Los Angeles,Los Angeles County,6037,,,F,25-32,,White,White,Traffic Collision,Other,FALSE,No Search,,FALSE,Traffic Collision,FALSE,W
CA-2013-0000142,CA,01/01/2013,,West Los Angeles,Los Angeles County,6037,,,M,15-25,,Hispanic,Hispanic,Motorist/Public Service,Other,FALSE,No Search,,FALSE,Motorist/Public Service,FALSE,H
